episode,reward,stages
0,-570.2508999861785,1
1,-199.80851431677556,1
2,-216.87071161912633,1
3,-498.7343425260905,1
4,-544.0541095885918,1
5,-469.6714408570582,1
6,-470.69145578227204,1
7,-598.5837871439695,1
8,-249.9239851164106,1
9,-410.82550023377536,1
10,-314.0086728473687,1
11,-211.16510809160192,1
12,-113.04465478593922,1
13,-462.1358703838668,1
14,-256.63316660996986,1
15,-251.85758568331013,1
16,-370.5493673366617,1
17,-196.24767830503774,1
18,-422.64647966623727,1
19,-316.7188474523766,1
20,-354.116093051637,1
21,-393.71387365919077,1
22,-89.6755623878786,1
23,-454.3631642047517,1
24,-193.1633240272353,1
25,-223.36892737095567,1
26,-115.67595370439261,1
27,-88.01552496808559,1
28,-73.3838191364482,1
29,-61.99197606317399,1
30,-51.39300039920465,1
31,-29.810932852336595,1
32,-136.44312148240502,1
33,-77.64150715112464,1
34,-126.56526889354143,1
35,66.55279419543515,1
36,-106.70929026820743,1
37,-74.29974298677254,1
38,-55.07256279997775,1
39,-96.29905600963562,1
40,23.363681521608346,1
41,-59.85529009310154,1
42,-21.40150867690302,1
43,-58.58040316419456,1
44,-54.02336082496365,1
45,20.851918522212554,1
46,-72.24004093922724,1
47,1.015447359975632,1
48,-87.22033306884111,1
49,-103.62829635217403,1
50,-54.93045926454065,1
51,-84.4258079854767,1
52,-77.7210612845851,1
53,12.557826819552464,1
54,-98.37014495312404,1
55,80.40331919291053,1
56,-102.8263131619531,1
57,-68.36967353692629,1
58,-94.60341608711303,1
59,-39.43241400547686,1
60,67.82640584033874,1
61,-95.63049366327321,1
62,38.88178802984083,1
63,-101.9122873397192,1
64,42.981201034586704,1
65,-126.44890153440166,1
66,-72.63532389928562,1
67,141.66070502487025,1
68,109.33822029122639,1
69,41.06261723518565,1
70,49.67055361830244,2
71,32.02877715224851,2
72,200.94311746146525,2
73,296.72082544761486,2
74,77.10032403132327,2
75,233.03061034589103,2
76,105.37012668922839,2
77,66.65260977328023,2
78,63.76295480378007,2
79,-15.976903651594611,2
80,-189.53749871403312,3
81,-23.74414448946395,3
82,-15.158280786007197,3
83,-61.873657026434046,3
84,-29.94603233365217,3
85,-42.70251998452649,3
86,-158.75389915424574,3
87,-69.70609338772047,3
88,-109.37261330811451,3
89,-195.71713767865538,3
