episode,reward
0,-96.98321465973369
1,-392.86475348143296
2,-135.47406903509716
3,-104.34332130402571
4,-243.45909622509353
5,-252.9291556356375
6,-126.65066147548258
7,-217.73856665320164
8,-115.56149803488103
9,-282.19419244458027
10,-130.11729511485163
11,-201.82032733306505
12,-209.27664004841668
13,-144.85761486297778
14,-79.06774980285515
15,-67.31647537664207
16,-134.87402910654617
17,-123.0792585348522
18,-130.23422178123545
19,-479.05809021191584
20,-141.25896521498674
21,-440.9698504978319
22,-92.67083074211564
23,-214.5077012326503
24,-363.77304342584637
25,-101.98394493738859
26,-93.24363837134983
27,46.66567336270626
28,-168.9358803970245
29,-83.13620284612543
30,-135.87150804423936
31,-168.9580667256875
32,-140.672833100587
33,-86.43973032183345
34,-97.98095475274238
35,-105.80186287043679
36,-60.21753351165684
37,-54.88728169032056
38,-153.2018825759363
39,-104.51473801813471
40,-6.2244177187809555
41,6.441247412694693
42,-75.07856429505028
43,-111.11296796909969
44,-150.73306265978388
45,-85.65918050344293
46,-41.63649783196624
47,-109.45238088300155
48,-262.1486935003006
49,-220.1982811475428
50,-72.13492819523145
51,-30.94887577210085
52,-350.79457617196624
53,-43.43115334247712
54,-158.1389332457751
55,-133.915375388141
56,-98.24435481557535
57,-4.63857602919478
58,-228.17357323988654
59,-75.36007672678232
60,-96.27665555079201
61,-29.489771941751343
62,-112.27503503781183
63,-71.62417483706801
64,-104.460296227552
65,-43.84366506132575
66,-87.88029886683825
67,-81.47280222888864
68,-301.22934628691496
69,-36.02721203840322
70,-67.93246295689596
71,-76.09734537970876
72,-51.94709308262381
73,-37.10782710868633
74,-73.9247475454346
75,-58.00751075207722
76,-65.77107551032387
77,-85.19794803982755
78,-35.568608701139866
79,-19.80891772926718
80,-17.385702810809462
81,10.10556606369883
82,12.460168301331734
83,23.91322851889224
84,-68.81250595987783
85,-93.35151927838712
86,-38.64430639238651
87,-85.07060583104176
88,61.16126834062081
89,-37.22021014011348
90,-50.30236867851061
91,-37.55091425773164
92,-75.04846892930875
93,-35.08954706112121
94,-136.7625272029063
95,-111.65539439916564
96,-110.5573916084052
97,-134.0223852573281
98,-253.7596608755547
99,-150.54368492457053
100,-171.1981132575164
101,-99.45413914517522
102,-5.7196442213582115
103,-74.65581896070366
104,-33.27064217073803
105,-33.4120964287417
106,-58.295338388913976
107,-34.69940986435351
108,-52.818775561626445
109,-22.04291351388534
110,-20.142499725978073
111,-66.40988202708967
112,-33.656758534502096
113,-45.628393567449784
114,-38.310307332792064
115,-66.54252568408285
116,-40.63055258912262
117,-39.27647104416305
118,-43.056513988968554
119,-22.85673047735572
120,-43.12519489451285
121,-1.536184143053875
122,-11.347313918657912
123,-8.88626372253525
124,-25.92155844110942
125,-33.824975138330714
126,-67.05072590415425
127,-39.147579747415826
128,-33.56888842349771
129,-22.444631666812345
130,-69.95439468324089
131,-16.969942327855787
132,-73.88500020712836
133,-52.651969391475696
134,-1.3515494788965328
135,-54.08696880066205
136,-45.98351914035121
137,-30.137873814100058
138,-16.143678139561068
139,-25.415522637506022
140,11.1982815349028
141,-13.17073596451144
142,6.742858246464065
143,-12.639037120828798
144,-17.384596957352684
145,21.642180756075746
146,-22.69189016751862
147,-3.9015260508109284
148,-13.753474071036592
149,26.038025437441565
150,-1.6208610850447327
151,9.832611357063104
152,-1.5501273960501933
153,-7.265955666933596
154,-1.9628732431032037
155,81.33645363271447
156,27.45661732932985
157,53.059192199218266
158,255.2974553789029
