episode,reward
0,-187.78777994986746
1,-113.05330883225365
2,-164.48018476645862
3,-318.65810996589244
4,-135.15083208637688
5,-238.64428958213693
6,-88.76060404112035
7,-116.02551676900254
8,-100.31888098834682
9,-338.15724486235433
10,-215.41235912075405
11,-123.00172927789146
12,-191.26821395392415
13,-140.63032795312097
14,-86.5489279804446
15,-320.15237067793316
16,-97.145243476952
17,-103.3283839449175
18,-83.2141545015493
19,-91.46439676694307
20,-117.51509228028463
21,-88.67728862794536
22,-252.70991000249458
23,-137.3243529727703
24,-212.25415683070878
25,-195.05825901296745
26,-244.46623591806454
27,-51.92946755517015
28,-73.74928055844765
29,-96.74285809439209
30,-246.18394154829227
31,-183.3367246622154
32,-166.6358699996287
33,-410.8174354675916
34,-117.97615112420804
35,0.18470939013532472
36,-195.51763619916014
37,-44.53339335995096
38,-134.76971286214751
39,-152.72224185778262
40,-224.213756241354
41,-68.64759445309281
42,-101.80039558291975
43,8.797044043863423
44,-42.126441946825594
45,-75.71469167842055
46,-181.07551347823176
47,-54.468675880146385
48,-235.17985330035737
49,-70.6522576089184
50,-182.29667805229843
51,-73.19539339215748
52,12.898471466811017
53,-112.36983900232194
54,-98.18560474434041
55,-61.21304173324816
56,-97.8306425800428
57,-99.70368276816195
58,-37.22759465659479
59,-116.08986082789275
60,-70.87378161265272
61,-151.20657519529314
62,-130.26419131182703
63,-86.85674229707085
64,-114.28389477294748
65,-28.268367193614694
66,-216.5910407807742
67,-76.84918325412127
68,-87.00171946700024
69,-57.779265591350764
70,-59.36776392649041
71,-99.72201051833412
72,-45.76637853428443
73,-45.65049143072095
74,-240.2348096489133
75,-81.26817708426574
76,-54.667449022145036
77,-103.13857926365922
78,-47.9328898607512
79,-82.47370912185787
80,-84.30262456049803
81,-1.3493060573921838
82,-41.170850785410764
83,-79.62426996889975
84,-104.75499334784153
85,-91.63066985017713
86,-70.7917806547377
87,29.027370191141983
88,-14.159515544837376
89,-68.78722439989244
90,40.11453917461887
91,32.02993749747071
92,-62.15413095638096
93,71.469114853956
94,-28.35657405037054
95,-7.302575566449335
96,-86.62347555384821
97,-25.430887001197252
98,-4.051073323873808
99,8.378457067563028
100,-66.47439129997557
101,-19.355483302681357
102,-53.63611176602736
103,-21.035593589747595
104,7.629830752093363
105,-35.34796742900328
106,33.324229439369375
107,-24.48113979213494
108,-14.2030528904115
109,-15.741946172579805
110,-54.762485053493926
111,-22.203796830656664
112,-115.6568790147588
113,-38.175988610895175
114,-60.36850443660634
115,-46.36194469699052
116,-119.25517984553204
117,-116.03733474693618
118,-35.753267157178264
119,-49.064133683768084
120,-9.566619221582435
121,-30.120866290362738
122,-38.61767895862235
123,-6.023301146781625
124,-16.700841873424768
125,-49.71254603817797
126,-55.02524250780784
127,-34.64000692306458
128,-66.56410357559841
129,-117.15506777022799
130,-222.45684602322694
131,-256.0426604839091
132,-14.075791838276372
133,-0.19045319678168005
134,-112.03000016137975
135,-30.873354285054205
136,-37.439401710271696
137,-94.00650288187589
138,-21.711256746459213
139,9.498288871241506
140,-19.397840039368063
141,0.6150161991705119
142,-26.80249886659759
143,-20.513905570025827
144,-27.90956261596304
145,13.45151299721036
146,10.874311878005022
147,-36.3299188069711
148,-68.1156952216734
149,-51.85439737639997
150,-0.936782505465156
151,-58.744850058923305
152,264.9968508612216
153,-122.80627550156001
154,-136.33741177053136
155,-91.66432300367009
156,26.032217988690288
157,-19.272605227081442
158,-12.515242611729992
159,-3.22751158225521
160,-27.04600246626802
161,-26.25696049069749
162,-27.618776275616153
163,-18.522230565870014
164,29.150796184875215
165,-44.89900705151636
166,-1.5802755249318494
167,28.532853128379113
168,-37.51474442481528
169,-18.495289485278388
170,30.11196996862108
171,4.274910465695976
172,29.720045950057692
173,-3.242414148251531
174,26.18328768581607
175,-42.89495519308331
176,-32.20547767608536
177,12.197067211035545
178,25.14892002896987
179,27.37379278093492
180,27.406441573413517
181,-25.621358862648727
182,-27.619246075611272
183,-22.869282669598643
184,175.17485980494502
185,6.606322275560351
186,-12.003631425339137
187,15.049040029290808
188,230.77474381890147
189,270.28739947461486
190,253.80516880216106
191,240.54243209679026
192,246.50670121599825
193,268.3539347376831
194,246.4729301479182
195,278.32140806263993
196,231.13436739641122
197,206.62625555042422
198,240.7607536289635
199,272.73471987449284
200,266.1551921943313
201,266.26111731580545
202,293.93761123590116
203,248.8877569251676
204,261.96145387742365
205,273.41820048348876
206,254.1327152087685
207,34.33606003859484
208,264.49890545656706
209,278.242338145358
210,284.7596299971326
211,306.1552845316346
212,246.5684594820939
213,259.6547155424848
214,269.5748998592051
215,213.0925865265595
216,210.02105620901716
217,274.59523718995695
218,217.40900849851573
219,290.3958510463334
220,-35.96298247873754
221,-39.55365369928968
222,203.58406579139736
223,244.95905907847919
224,-15.09437616447818
225,-21.679331363582634
226,277.70665090626585
227,242.7282173285921
228,265.8593207597187
229,-56.03474954442029
230,-10.499229156360514
231,-59.04386788707478
232,6.2511079237919915
233,214.8672499821485
234,-94.73561186646755
235,177.77516799033964
236,196.27895849563362
237,180.13489998110543
238,-36.59549852805643
239,-27.205255410485407
240,251.71139774888513
241,170.4389357580534
242,257.770245882204
243,237.0505706753106
244,3.7233755751084914
245,170.13324811137565
246,-31.79611085134437
247,-40.108690712977086
248,-25.397175949965877
249,-64.36310194162337
