episode,reward,stages
0,-415.40295204852134,1
1,-145.36438911593712,1
2,-495.5629786766717,1
3,-457.3901647055158,1
4,-135.4065274737394,1
5,-416.87623723701597,1
6,-460.2148754039025,1
7,-383.5605382457317,1
8,-374.6546324871708,1
9,-284.71132795334756,1
10,-252.19266251253399,1
11,-307.06263219003995,1
12,-390.6415589233905,1
13,-1029.5096258050494,1
14,-126.39187197097893,1
15,-238.6080964610173,1
16,-191.11193371134038,1
17,-402.18424342314734,1
18,-90.49929268950932,1
19,-533.7167941123519,1
20,-238.74142122804318,1
21,-518.1375173918976,1
22,-888.5393555289113,1
23,-708.8902774115462,1
24,-526.5910648300578,1
25,-455.518856907622,1
26,-248.27079268665295,1
27,-343.8845131355674,1
28,-287.76198737510185,1
29,-243.2854267685845,1
30,-159.58173970098278,1
31,-39.92921922409059,1
32,-105.8282318062728,1
33,-68.4162651672379,1
34,-56.42751495715752,1
35,-33.55484283270646,1
36,-92.32318731136712,1
37,-49.05896252512797,1
38,-96.78662712484726,1
39,-76.47161029407111,1
40,-108.49283752800649,1
41,-70.49391028257659,1
42,-124.09139664264767,1
43,-56.949316541428885,1
44,42.34012124035654,1
45,-11.997773063349996,1
46,31.40114511310083,1
47,-74.74439588918982,1
48,-102.63068463555129,1
49,16.225594270971914,1
50,-102.10421422935694,1
51,23.84684265780305,1
52,-76.35807504058204,1
53,-74.01067779049805,1
54,35.529271062758816,1
55,-38.57725590103,1
56,-115.39224733505071,1
57,-121.35352460867169,1
58,86.9547546556324,1
59,-50.95113992977424,1
60,-19.306895656501926,1
61,-97.12234412742482,1
62,-87.95975373718775,1
63,-122.97125215144845,1
64,-39.011412441183,1
65,-69.6541687579949,1
66,25.626359371018765,1
67,-74.27736582725387,1
68,-97.54533253653088,1
69,-64.73164806972889,1
70,-69.08138665792075,1
71,-102.46410477781053,1
72,80.32664536989124,1
73,56.74782280173136,1
74,-84.51294467268836,1
75,-52.89372803053089,1
76,-60.82101207858628,1
77,-54.86572665174397,1
78,7.531142012775794,1
79,-43.17234462080206,1
80,44.02331099967147,1
81,-70.47730001211323,1
82,-107.17446032274141,1
83,-89.28526236110483,1
84,-125.61831450657668,1
85,-79.06842808561308,1
86,-140.9353429891535,1
87,-105.53605434135577,1
88,-101.91443249172707,1
89,-69.6898067657988,1
90,-61.8702415853813,1
91,-121.78419586771717,1
92,-58.67968108512271,1
93,-98.38165247185964,1
94,23.5391372779863,1
95,21.80868053871971,1
96,-34.66516311001415,1
97,23.03760032694586,1
98,-82.22245193911755,1
99,50.0466919178337,1
100,71.3836283978298,1
101,-57.92840971542538,1
102,20.7085868903499,1
103,64.98882320805826,1
104,-40.26293120336476,2
105,-2.1608847013828867,2
106,22.95837726324711,2
107,13.523597537515041,2
108,72.75155168128586,2
109,-14.377040785502954,2
110,42.51251258121167,2
111,76.12658252801997,2
112,39.31374207798881,2
113,-91.6635750155556,2
114,180.16637249326354,2
115,35.22041886172254,2
116,47.8178837981174,2
117,-3.6407863640920146,2
118,173.07255308269407,2
119,28.101366850071223,2
120,-179.42954379660551,3
121,67.48073804463499,3
122,108.03410316995533,3
123,35.42095338813414,3
124,-173.4112438294655,3
125,-286.96956315876645,3
126,16.77573100536894,3
127,-174.7479790625781,3
128,-9.861236136976544,3
129,-74.99219233134639,3
130,-42.184067156553105,3
131,-69.25555249046425,3
132,59.22231063916803,3
133,-2.54772803777702,3
134,-232.5064758123158,3
135,-151.7570972625112,3
136,8.877944322849558,3
137,-52.70352951049565,3
138,-100.01891780987836,3
139,25.78417143802561,3
140,1.7631340902008503,3
141,-51.63202718601458,3
142,-58.821714433528314,3
143,-25.086093374636633,3
144,25.108454599667255,3
145,41.43916442672264,3
146,-63.25079626744802,3
147,-312.3896081345706,3
148,32.19927885464011,3
149,-27.319708004923783,3
150,21.612331940415146,3
151,-20.487203207335725,3
152,-59.142226348976244,3
153,-15.087925953493183,3
154,-33.44194074807139,3
155,54.08986156774135,3
156,54.55070620317662,3
157,72.1600585914828,3
158,-38.949777916775275,3
159,-30.060233642630052,3
160,-11.28539826383313,3
161,-74.60921964162853,3
162,-175.7325042936695,3
163,-10.83133749842618,3
164,-44.169587759647854,3
165,23.193990252284323,3
166,11.82540462026175,3
167,218.57482358586773,3
168,-22.281306700990825,3
169,272.2505497877574,3
170,-87.08654799192594,3
171,156.1880068536414,3
172,-63.92967115442033,3
173,50.95516922084181,3
174,-93.25834884670546,3
175,-11.148839290687576,3
176,-22.038514099916355,3
177,-31.68626173981326,3
178,-214.0233724316825,3
179,2.9028229940696377,3
180,174.01567901446353,3
181,-115.01450871873894,3
182,-31.874548763418105,3
183,-2.5843158550875067,3
184,66.46315680990602,3
185,-180.48967816527897,3
186,-108.16901624565125,3
187,-26.70129335042084,3
188,232.93783239738784,3
189,137.0444317350719,3
190,199.45533879058576,3
191,-29.77042680401668,3
192,-28.42998713452613,3
193,-57.12801777648308,3
194,-90.45188326080745,3
195,233.10785874727034,3
196,-88.45520652291106,3
197,-36.76471438480422,3
198,-38.036890054238654,3
199,6.269541997845934,3
200,232.45222354154492,3
201,168.70413955161024,3
202,211.59122753359475,3
203,179.574359024041,3
204,-7.3346627459702205,3
205,205.0806063407578,3
206,-6.742812748140793,3
207,-63.716131012131676,3
208,-78.91976262514376,3
209,17.604657263183412,3
210,-40.76268618708969,3
211,234.78187572820661,3
212,-47.4733996912205,3
213,176.06408627241788,3
214,271.44008100051235,3
215,-20.838234185241518,3
216,233.7436396428833,3
217,19.367650180321533,3
218,-156.02898105608597,3
219,213.5385056441058,3
220,-65.3655048230455,3
221,-11.828729555077835,3
222,-55.99299588322664,3
223,-185.39569477172785,3
224,217.2090925902013,3
225,228.40736393095233,3
226,108.66604263730191,3
227,-23.60018966422247,3
228,276.0784487524096,3
229,36.7696998764705,3
230,251.92356035593048,3
231,-22.603987375671764,3
232,-50.617371699132406,3
233,108.03518819767523,3
234,19.411818513771976,3
235,38.996256850646006,3
236,-10.229836093209713,3
237,310.06355214846315,3
238,184.47585391342938,3
239,229.0806599837906,3
240,-38.53449781081993,3
241,-87.54417412890959,3
242,212.7559967058254,3
243,248.41887283264467,3
244,3.8682968563242497,3
245,-6.970033617386534,3
246,204.75772433759147,3
247,-45.79171364587372,3
248,209.78368768208605,3
249,-38.42025781407358,3
250,-50.39546684486692,3
251,218.1868029735448,3
252,50.73645277876883,3
253,171.60046492679282,3
254,207.02271443500592,3
255,97.35787737000094,3
256,49.06287811809392,3
257,-8.760808299438196,3
258,-96.02605203593018,3
259,-178.8751184897859,3
260,253.5936084317663,3
261,185.19755156259873,3
262,133.3190476213944,3
263,-259.11992623948356,3
264,207.56906859461373,3
265,-76.08413295314797,3
266,30.443212932193717,3
267,-183.43284606723762,3
268,260.0122964339728,3
269,-218.59744099444202,3
270,90.27233969748374,3
271,5.424880229922266,3
272,249.50161268609511,3
273,48.25428514374403,3
274,-3.549331934481671,3
275,-59.10817535050162,3
276,130.77726717522148,3
277,-54.3237438396618,3
278,273.8217248159813,3
279,-55.384155253750706,3
280,-80.19369075270639,3
281,-74.42187109555482,3
282,79.49066997138868,3
283,-14.729676500884224,3
284,87.76300900674914,3
285,232.58320590092328,3
286,170.797923997721,3
287,1.2854739359532772,3
288,-12.667666286091702,3
289,19.67894770099413,3
290,233.8855472854299,3
291,-40.456520453897326,3
292,-111.02849730594261,3
293,27.77919973606275,3
294,280.18691222815164,3
295,55.89229995233882,3
296,-172.01374757358843,3
297,-104.74983978860082,3
298,-64.41273575854312,3
299,24.1449707098773,3
300,-93.41286291716514,3
301,-34.516672510647766,3
302,-35.3627339348338,3
303,180.7100572348119,3
304,-70.48673984539138,3
305,300.4429456745801,3
306,186.69530145041364,3
307,-186.5834335866298,3
308,262.90052710790076,3
309,266.2251013684382,3
310,223.81304572971425,3
311,-190.44412777305865,3
312,-2.6353486622934668,3
313,-79.60145057380491,3
314,-24.597882523412764,3
315,104.17310276234343,3
316,-11.325024243095669,3
317,-42.33610881431089,3
318,-29.25159889519007,3
319,-59.0538787698477,3
320,26.059416854520165,3
321,253.18458590178165,3
322,234.03274981778117,3
323,-3.3582873926890784,3
324,-117.78305783201745,3
325,-21.832750932672184,3
326,248.10366322869024,3
327,3.451263764423331,3
328,-38.801854187839794,3
329,-13.898446780752948,3
330,220.78689735523392,3
331,211.52434975657647,3
332,-100.38112185641495,3
333,20.840997604792165,3
334,-18.753028343856585,3
335,-42.780115716189144,3
336,252.92745076206725,3
337,-203.63074503792802,3
338,-48.52011788193251,3
339,-26.826325007004897,3
340,300.80014245479987,3
341,255.37310348400158,3
342,14.594403790969551,3
343,264.8255125712142,3
344,273.0030167408785,3
345,232.33223497154358,3
346,218.21938644397716,3
347,-5.457797138934652,3
348,-10.895436320496458,3
349,29.58480066688034,3
350,199.76183837638905,3
351,-59.286503966866974,3
352,-49.27514137532772,3
353,157.24260109635742,3
354,254.38697363286298,3
355,-39.94321999844882,3
356,217.5899592908752,3
357,-93.93799749524231,3
358,-188.33358605518612,3
359,-74.78151854094648,3
360,263.9743155290121,3
361,47.325952284546105,3
362,-212.96813729123772,3
363,-154.54888417398502,3
364,-30.51787774633506,3
365,-26.45310424096256,3
366,215.8867495627826,3
367,40.529752373642964,3
368,241.95639343653008,3
369,-165.365918795381,3
370,158.65481202948925,3
371,-5.176139952940076,3
372,-72.31839528041279,3
373,-220.88275986012133,3
374,-28.16780741212004,3
375,260.31029067112735,3
376,260.28511823197323,3
377,243.642965348193,3
378,167.3905123959314,3
379,-35.00005880236796,3
380,217.71094074904698,3
381,154.9756448086154,3
